,structure,Density
624,RSM2937,0.887297
625,RSM1171,1.35352
626,RSM4024,0.996922
627,RSM2463,1.32959
628,RSM3362,1.10332
629,RSM3846,1.06833
630,RSM3160,1.71085
631,RSM1391,1.0242
632,RSM0921,1.2795
633,RSM1351,1.77101
634,RSM1739,0.930439
635,RSM1355,2.07011
636,RSM2242,1.23237
637,RSM2118,2.0371
638,RSM0289,1.00123
639,RSM1014,1.82815
640,RSM1831,1.26868
641,RSM1498,1.18862
642,RSM2961,1.03728
643,RSM1564,0.814829
644,RSM4007,0.789623
645,RSM0002,1.96174
646,RSM1220,0.741175
647,RSM1779,1.11468
648,RSM3420,0.9369
649,RSM2932,1.35585
650,RSM1454,1.2356
651,RSM2043,1.59574
652,RSM1009,1.46889
653,RSM4088,1.02903
654,RSM2057,0.916929
655,RSM4601,0.570802
656,RSM4032,0.929909
657,RSM2783,0.783384
658,RSM1992,1.46382
659,RSM4455,1.13328
660,RSM2489,1.34043
661,RSM2149,0.712124
662,RSM0935,1.73661
663,RSM0260,1.90214
664,RSM1955,0.841796
665,RSM0868,1.7136
666,RSM3015,1.36616
667,RSM0048,0.991517
668,RSM0510,1.23939
669,RSM1045,1.30278
670,RSM3657,0.795802
671,RSM0620,1.0285
672,RSM1499,1.58891
673,RSM0656,1.55626
674,RSM4147,0.978378
675,RSM4467,0.83592
676,RSM1892,1.64465
677,RSM0090,2.02284
678,RSM3407,1.34833
679,RSM1818,1.39297
680,RSM1669,1.29724
681,RSM1187,1.77165
682,RSM3940,2.11286
683,RSM2867,1.44225
684,RSM0063,2.00068
685,RSM2096,2.02827
686,RSM1306,1.17991
687,RSM4117,1.19028
688,RSM3611,0.431449
689,RSM2151,0.89822
690,RSM4191,0.898139
691,RSM4022,0.754746
692,RSM4376,1.07461
693,RSM3698,0.695055
694,RSM4516,1.07877
695,RSM1533,0.714711
696,RSM3417,0.929693
697,RSM2841,1.12524
698,RSM3276,1.35621
699,RSM3622,1.25392
700,RSM1244,1.14663
701,RSM3395,1.10665
702,RSM2934,1.40456
703,RSM1269,1.57276
704,RSM0385,1.89784
705,RSM0876,2.08041
706,RSM0734,1.12489
707,RSM3139,1.49187
708,RSM3360,0.740697
709,RSM2703,0.509982
710,RSM0891,1.78467
711,RSM1824,1.87972
